NAME,PROBE,DESCRIPTION<br>(from dataset),GENE SYMBOL,GENE_TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
row_0,PPARG,na,null,null,2,2.2817204,0.0422739,Yes
row_1,CST7,na,null,null,6,1.898338795,0.07380436,Yes
row_2,CD1A,na,null,null,13,1.774476051,0.09456978,Yes
row_3,CD1C,na,null,null,14,1.742687583,0.13101909,Yes
row_4,IKBKG,na,null,null,16,1.715762496,0.16418046,Yes
row_5,TNFSF13B,na,null,null,19,1.665831447,0.19357269,Yes
row_6,CD244,na,null,null,22,1.627250433,0.22215798,Yes
row_7,THBS1,na,null,null,30,1.548440337,0.23547092,Yes
row_8,CTSS,na,null,null,42,1.494611382,0.23675883,Yes
row_9,CD1D,na,null,null,49,1.430033088,0.25032002,Yes
row_10,MEFV,na,null,null,53,1.419404507,0.2718333,Yes
row_11,MICB,na,null,null,59,1.384348154,0.28716376,Yes
row_12,ITGAL,na,null,null,66,1.346264005,0.29897287,Yes
row_13,CCL2,na,null,null,69,1.339291096,0.32153532,Yes
row_14,MYO1G,na,null,null,75,1.30658567,0.33523932,Yes
row_15,EGR1,na,null,null,77,1.292865396,0.35955557,Yes
row_16,FCGR2B,na,null,null,87,1.218057752,0.36050877,Yes
row_17,IFI35,na,null,null,90,1.201808572,0.3801957,Yes
row_18,SWAP70,na,null,null,92,1.201617956,0.40260345,Yes
row_19,IFNAR2,na,null,null,94,1.192461371,0.42481965,Yes
row_20,TRIM22,na,null,null,105,1.140373349,0.42142326,No
row_21,RAB27A,na,null,null,118,1.064261675,0.41098538,No
row_22,ANXA1,na,null,null,137,0.98431462,0.38252655,No
row_23,ISG15,na,null,null,142,0.976542115,0.39205232,No
row_24,TOLLIP,na,null,null,164,0.864957392,0.35292268,No
row_25,JAK1,na,null,null,205,0.617745578,0.25685138,No
row_26,NUB1,na,null,null,225,0.512350798,0.21579635,No
row_27,INPP5D,na,null,null,227,0.486825436,0.2232538,No
row_28,CD4,na,null,null,235,-0.556194544,0.21581335,No
row_29,MX2,na,null,null,241,-0.593312383,0.21459885,No
row_30,TRIM4,na,null,null,284,-0.787516475,0.116628796,No
row_31,MFNG,na,null,null,293,-0.84584403,0.112521745,No
row_32,ELANE,na,null,null,320,-1.015325308,0.06291317,No
row_33,CD70,na,null,null,347,-1.211159945,0.017400589,No
row_34,ASS1,na,null,null,371,-1.45729804,-0.014789483,No
row_35,HLA-F,na,null,null,374,-1.466829062,0.010440499,No
row_36,LGR4,na,null,null,376,-1.504138708,0.03917563,No
row_37,CARD9,na,null,null,394,-1.644410849,0.027247904,No
