NAME,PROBE,DESCRIPTION<br>(from dataset),GENE SYMBOL,GENE_TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
row_0,BCAR1,na,null,null,1,2.382377386,0.07461722,Yes
row_1,CA2,na,null,null,15,1.72675097,0.09639675,Yes
row_2,IKBKG,na,null,null,16,1.715762496,0.15203051,Yes
row_3,TNFSF13B,na,null,null,19,1.665831447,0.20078209,Yes
row_4,CD244,na,null,null,22,1.627250433,0.24828267,Yes
row_5,THBS1,na,null,null,30,1.548440337,0.28006992,Yes
row_6,CTSS,na,null,null,42,1.494611382,0.29958546,Yes
row_7,CD1D,na,null,null,49,1.430033088,0.33016494,Yes
row_8,MICB,na,null,null,59,1.384348154,0.35136834,Yes
row_9,CCL2,na,null,null,69,1.339291096,0.37111077,Yes
row_10,CASP8,na,null,null,74,1.30775857,0.40298864,Yes
row_11,MYO1G,na,null,null,75,1.30658567,0.44535482,Yes
row_12,SWAP70,na,null,null,92,1.201617956,0.4422121,No
row_13,HLX,na,null,null,130,1.017845631,0.37784743,No
row_14,ANXA1,na,null,null,137,0.98431462,0.39397445,No
row_15,ISG15,na,null,null,142,0.976542115,0.41511258,No
row_16,VAMP3,na,null,null,178,0.800042212,0.34894878,No
row_17,MYO1C,na,null,null,190,0.700101078,0.34270224,No
row_18,INPP5D,na,null,null,227,0.486825436,0.26375076,No
row_19,RAC2,na,null,null,230,0.457887977,0.27333465,No
row_20,CD4,na,null,null,235,-0.556194544,0.280843,No
row_21,MLST8,na,null,null,312,-0.974870145,0.11245324,No
row_22,ELANE,na,null,null,320,-1.015325308,0.1269542,No
row_23,SLC39A10,na,null,null,335,-1.095296741,0.12562719,No
row_24,CARD9,na,null,null,394,-1.644410849,0.026315775,No
