NAME,PROBE,DESCRIPTION<br>(from dataset),GENE SYMBOL,GENE_TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
row_0,SAMSN1,na,null,null,0,2.465969801,0.059745345,Yes
row_1,BCAR1,na,null,null,1,2.382377386,0.11746542,Yes
row_2,PPARG,na,null,null,2,2.2817204,0.17274678,Yes
row_3,CD1A,na,null,null,13,1.774476051,0.18885694,Yes
row_4,CD1C,na,null,null,14,1.742687583,0.23107865,Yes
row_5,IKBKG,na,null,null,16,1.715762496,0.26995987,Yes
row_6,ITGB7,na,null,null,37,1.525764108,0.25316253,Yes
row_7,CTSS,na,null,null,42,1.494611382,0.27862117,Yes
row_8,CD1D,na,null,null,49,1.430033088,0.2971389,Yes
row_9,MICB,na,null,null,59,1.384348154,0.30648524,Yes
row_10,ITGAL,na,null,null,66,1.346264005,0.3229734,Yes
row_11,CASP8,na,null,null,74,1.30775857,0.33584046,Yes
row_12,MYO1G,na,null,null,75,1.30658567,0.36749634,Yes
row_13,LPXN,na,null,null,84,1.238322973,0.37599295,Yes
row_14,FCGR2B,na,null,null,87,1.218057752,0.40012762,Yes
row_15,NR1H2,na,null,null,93,1.19842267,0.41572207,Yes
row_16,IFNAR2,na,null,null,94,1.192461371,0.44461295,Yes
row_17,HLX,na,null,null,130,1.017845631,0.37518722,No
row_18,ANXA1,na,null,null,137,0.98431462,0.38290608,No
row_19,VAMP3,na,null,null,178,0.800042212,0.29476258,No
row_20,CALM3,na,null,null,188,0.725431979,0.28814474,No
row_21,MYO1C,na,null,null,190,0.700101078,0.30241856,No
row_22,JAK1,na,null,null,205,0.617745578,0.27975085,No
row_23,TRAFD1,na,null,null,206,0.616374671,0.29468435,No
row_24,NDFIP1,na,null,null,213,0.580290973,0.29261455,No
row_25,INPP5D,na,null,null,227,0.486825436,0.2694631,No
row_26,RAC2,na,null,null,230,0.457887977,0.27518043,No
row_27,CD4,na,null,null,235,-0.556194544,0.27790317,No
row_28,ELANE,na,null,null,320,-1.015325308,0.07669596,No
row_29,SLC39A10,na,null,null,335,-1.095296741,0.065598324,No
row_30,HLA-F,na,null,null,374,-1.466829062,-0.001013981,No
row_31,LGR4,na,null,null,376,-1.504138708,0.032740016,No
row_32,CARD9,na,null,null,394,-1.644410849,0.026881762,No
