NAME,PROBE,DESCRIPTION<br>(from dataset),GENE SYMBOL,GENE_TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
row_0,SAMSN1,na,null,null,0,2.465969801,0.04024784,Yes
row_1,BCAR1,na,null,null,1,2.382377386,0.07913134,Yes
row_2,PPARG,na,null,null,2,2.2817204,0.11637199,Yes
row_3,CD1A,na,null,null,13,1.774476051,0.11732255,Yes
row_4,CD1C,na,null,null,14,1.742687583,0.14576548,Yes
row_5,CA2,na,null,null,15,1.72675097,0.1739483,Yes
row_6,IKBKG,na,null,null,16,1.715762496,0.20195179,Yes
row_7,TNFSF13B,na,null,null,19,1.665831447,0.22353809,Yes
row_8,CD244,na,null,null,22,1.627250433,0.24449469,Yes
row_9,THBS1,na,null,null,30,1.548440337,0.2501594,Yes
row_10,PTPRE,na,null,null,35,1.535254955,0.26401228,Yes
row_11,ITGB7,na,null,null,37,1.525764108,0.28611362,Yes
row_12,CTSS,na,null,null,42,1.494611382,0.29930314,Yes
row_13,ANXA5,na,null,null,44,1.469022155,0.32047838,Yes
row_14,CD1D,na,null,null,49,1.430033088,0.33261392,Yes
row_15,MICB,na,null,null,59,1.384348154,0.3299982,Yes
row_16,ITGAL,na,null,null,66,1.346264005,0.33516425,Yes
row_17,CCL2,na,null,null,69,1.339291096,0.35142097,Yes
row_18,CASP8,na,null,null,74,1.30775857,0.36156082,Yes
row_19,MYO1G,na,null,null,75,1.30658567,0.382886,Yes
row_20,LPXN,na,null,null,84,1.238322973,0.38068807,Yes
row_21,FCGR2B,na,null,null,87,1.218057752,0.39496613,Yes
row_22,SWAP70,na,null,null,92,1.201617956,0.40337363,Yes
row_23,NR1H2,na,null,null,93,1.19842267,0.42293343,Yes
row_24,IFNAR2,na,null,null,94,1.192461371,0.44239596,Yes
row_25,HLX,na,null,null,130,1.017845631,0.3609693,No
row_26,ANXA1,na,null,null,137,0.98431462,0.36022788,No
row_27,ISG15,na,null,null,142,0.976542115,0.36496183,No
row_28,VAMP3,na,null,null,178,0.800042212,0.27998036,No
row_29,CALM3,na,null,null,188,0.725431979,0.26661026,No
row_30,MYO1C,na,null,null,190,0.700101078,0.2752357,No
row_31,JAK1,na,null,null,205,0.617745578,0.24610242,No
row_32,TRAFD1,na,null,null,206,0.616374671,0.25616246,No
row_33,NDFIP1,na,null,null,213,0.580290973,0.24882685,No
row_34,SNRPB2,na,null,null,224,0.521939397,0.22933437,No
row_35,INPP5D,na,null,null,227,0.486825436,0.23167776,No
row_36,RAC2,na,null,null,230,0.457887977,0.23354885,No
row_37,CD4,na,null,null,235,-0.556194544,0.23142219,No
row_38,MYC,na,null,null,263,-0.702768683,0.16726203,No
row_39,NTHL1,na,null,null,300,-0.914140522,0.081341654,No
row_40,MLST8,na,null,null,312,-0.974870145,0.06644048,No
row_41,LENG9,na,null,null,313,-0.980769515,0.082447916,No
row_42,ELANE,na,null,null,320,-1.015325308,0.08221263,No
row_43,SLC39A10,na,null,null,335,-1.095296741,0.06087361,No
row_44,HLA-F,na,null,null,374,-1.466829062,-0.02162841,No
row_45,LGR4,na,null,null,376,-1.504138708,1.20E-04,No
row_46,CARD9,na,null,null,394,-1.644410849,-0.020660149,No
row_47,GAL,na,null,null,403,-2.810449123,0.002801079,No
