Name	Description	A54939	A54940	A54941	A54942	A54943	A54944	A54945	A54946	A54947
ISG15	na	17.739007	25.671331	19.350624	13.301214	23.237258	23.781084	14.566509	22.786388	20.664007
PRXL2B	na	11.099852	5.017228	3.704756	6.986719	4.328127	2.933663	7.47456	4.823716	3.200146
PRXL2B	na	6.173433	3.60378	3.482855	8.863223	2.988051	3.679089	7.142867	3.888164	5.227426
RPL22	na	9.119565	3.44297	4.496053	7.781518	3.134789	4.894081	8.968282	5.713289	4.903877
ACOT7	na	66.541645	54.202358	49.842062	66.528498	49.919428	52.524233	63.956407	53.591508	54.850378
VAMP3	na	20.784739	29.761116	27.118431	20.483882	29.878958	25.957235	19.198495	28.202148	26.089425
CCDC28B	na	15.117231	8.939565	8.470631	14.183944	9.15216	9.362647	15.404968	11.265502	9.737001
MARCKSL1	na	133.297777	100.838278	60.974556	115.767876	78.824157	62.137904	122.140494	93.992284	71.188933
BSDC1	na	7.896864	12.751186	11.022629	7.196055	11.871171	11.561354	7.000947	13.19489	11.281231
COL8A2	na	5.763233	2.091981	1.48333	4.702113	1.100051	2.594895	6.059799	1.527779	2.036783
MYCBP	na	20.436046	11.216121	11.053517	21.961159	11.066531	9.820891	19.870425	10.01578	11.267364
MYCBP	na	17.618564	9.631072	10.920724	19.894022	9.907728	10.115197	19.933957	10.687179	11.482486
SMAP2	na	27.773843	31.675182	33.705992	25.48731	35.223706	33.179995	26.552771	37.070217	34.279347
SLC2A1	na	23.091046	29.883808	26.739394	21.508461	26.470942	28.11837	21.122643	28.338637	25.54645
TMEM53	na	8.407958	13.555098	10.90987	7.973225	11.764137	11.910568	6.794696	14.3716	11.78657
RPS8	na	1598.539564	1239.571913	1290.358586	1546.205434	1240.387299	1344.680254	1492.818719	1272.240154	1372.318123
HPDL	na	14.681573	9.863105	6.912888	16.006178	9.80309	6.90868	16.62636	11.737976	7.903107
CC2D1B	na	8.106566	12.429498	10.365541	7.286091	12.176149	10.522157	7.073361	12.440567	10.405757
COA7	na	18.380727	16.013007	13.563587	19.015389	13.751484	13.366842	19.457143	14.86545	13.75616
TMEM59	na	51.121028	72.741051	59.884224	49.943872	71.786243	67.183904	48.926235	73.032988	67.68316
JAK1	na	22.495571	32.028362	27.9112	23.343209	29.657003	27.214778	22.272811	31.593622	26.223685
F3	na	1.505163	3.050138	3.968014	1.741694	3.727333	5.319818	1.70116	3.271538	5.216867
CD53	na	5.195178	14.271326	10.830511	6.262047	7.931046	10.969931	5.529774	8.958843	13.008134
TXNIP	na	70.766027	95.59043	121.430235	62.969099	78.983625	117.110683	63.484244	78.200256	119.411907
NBPF14	na	10.817	14.038533	12.78916	10.186161	12.877437	12.712618	9.095636	13.414611	12.833905
HIST2H2AA4	na	31.517872	103.777459	42.237808	17.554892	76.698622	48.757777	18.511082	84.963379	50.374403
SV2A	na	5.265382	3.078617	2.853048	6.001724	3.33184	2.835337	6.395569	3.518465	3.077191
CTSS	na	9.676776	15.384743	16.994723	8.870687	14.998461	19.270123	10.193697	16.234944	19.009487
CTSS	na	25.840644	43.584313	45.099647	27.055185	39.40185	52.066712	23.57345	40.242511	57.186735
CTSS	na	28.32577	52.891966	55.433154	33.651339	45.981613	69.281992	30.040461	49.814564	67.567944
INTS3	na	8.011075	5.891896	5.656041	7.620794	5.032312	5.709246	8.052869	5.868051	5.820039
RIT1	na	5.02329	8.001409	9.142376	5.538645	8.588165	9.737839	5.038478	8.039996	10.200346
CD1D	na	18.285086	51.661907	29.21198	21.158878	53.401835	33.995643	20.305188	58.015583	33.644148
CD1A	na	1.570837	5.817121	3.336761	2.088306	6.791462	4.611673	1.982414	7.034317	3.946558
CD1C	na	2.038752	5.117616	5.985192	2.407714	3.974019	7.554153	2.303206	4.070218	6.872392
