Gene_name	score
HLX	8.45706493958608
FGL2	6.53711208649889
HIST2H2AA4	5.51034876708763
HBEGF	5.24253014627029
BCAR1	5.2322965483231
CD1D	5.04243918517408
CD244	4.75946572880958
NAGK	4.74633627259199
SAMSN1	4.69827729775462
FAP	4.69074721276944
OSMR	4.67242026328014
PPARG	4.5916237093498
CD1A	4.40793399008359
XYLT1	4.0292408648232
BTG3	3.93238309843227
MICB	3.87758686487432
PDLIM2	3.71666368073801
HSD17B10	3.53872890543113
INPP5A	3.44163656605034
IKBKG	3.40960059199327
MYLIP	3.213248422061
CCM2	3.19413895280596
MGAT1	3.17813288826365
HIPK2	3.15814495169793
RNF149	3.13757115633703
ST8SIA4	3.09472329972666
CA2	3.04717815185969
FMNL1	2.97338490091396
CCL2	2.92220452254158
YPEL5	2.89245314808968
PTPRE	2.77362731093671
CLN3	2.74180269384754
ITGB7	2.59681765799746
IFI35	2.57698567715592
SLC17A5	2.41973823546113
DNAJC5B	2.34996262747867
DOCK10	2.33794731983166
SLC16A3	2.33576600065315
MYO1G	2.33331472577728
TNFSF13B	2.30003510516791
CST7	2.2909389425255
ACADVL	2.29016261607727
CDKN2D	2.27228424243007
TGM2	2.22913861442898
ASGR2	2.19844952066832
EVI5L	2.18714443695849
SAT2	2.1829047408919
TMX4	2.17182405268141
BSDC1	2.08490591088494
JUND	2.04691558703358
TRIM22	1.97654548146826
SDCBP	1.97460800898217
CASP8	1.96225898659655
MED19	1.96136968639209
DYNLRB1	1.94830663822324
SMPD1	1.94417717987974
SDCBP	1.93314143620941
CC2D1B	1.93303728522919
HINT1	1.92895179484182
THBS1	1.89119218520906
VAT1	1.88690900726186
GPR137B	1.86715487973569
ST3GAL1	1.86619347993637
ANKRA2	1.86266659570857
ATP6V1G1	1.84971502698046
TROAP	1.84261139746314
NPC1	1.82071068953532
ZFAND3	1.82039826045106
UXS1	1.81334103143233
MCRIP1	1.81086161423017
IGFLR1	1.80621313613582
PDLIM2	1.80487304158479
ARID3A	1.78103548373579
COQ10B	1.76178346987727
KCTD9	1.74494755935555
BHLHE40	1.74277439888719
NR1H2	1.7422288579451
CTSS	1.72233628628675
MCEMP1	1.7202316447184
HEXB	1.70687636186841
TMEM53	1.70055282288904
ANKRD52	1.6954129415565
CYSTM1	1.65731498055444
LGALS8	1.63636946267597
DNAJB6	1.63341870975799
GNS	1.61959835213324
ANXA5	1.61914580261883
ITGAL	1.61375527023391
CD1C	1.60670653832934
JUND	1.59682949563482
ITGA5	1.56779889584184
TOM1	1.56685328336137
CTSS	1.55226398797978
RRAGD	1.54308094180275
TOR1B	1.5383323470324
ITGA5	1.5244167600102
GLB1	1.5038000131566
BLVRB	1.47573958960028
CTSS	1.47085476124219
MALAT1	1.46699087262954
RIT1	1.46153529730777
SLC15A3	1.42740931398803
ADRM1	1.4106912476687
VAMP3	1.40963677812562
MOB3A	1.40384359688689
TEAD3	1.40378290686807
NRBP1	1.40211847689142
TMEM59	1.39266398453794
PRCP	1.36624315409526
CASP1	1.36593550252417
REXO1	1.35491339592703
LACTB	1.35409750619108
F3	1.35344194101104
DCAF7	1.33194946361807
ATP2A3	1.33110355351608
CPQ	1.32479098100348
SLC15A3	1.31554020649256
ZFAND3	1.30721355120506
KIAA1191	1.29190567783058
TMED4	1.2636284641641
IFNAR2	1.26253600970585
PPP2CB	1.25265469999994
TNRC18	1.24532886416509
ASAH1	1.24331642988605
TUBA4A	1.22808143890252
SIRT6	1.21651283328755
SMIM30	1.21427800727785
ISG15	1.20507825941268
EVL	1.20252589289988
OSTM1	1.20188465046066
CHMP2A	1.19528738460839
SCARB2	1.19338393595596
SS18	1.17976994310361
SWAP70	1.17777811248629
NCF1B	1.17014355982469
NEAT1	1.16620323691048
EVI2B	1.1641254155663
MEFV	1.16118260273624
LPXN	1.15233091523625
RRAGA	1.14501815700375
CUTA	1.12654007726666
CD53	1.12106350731601
NCF1C	1.11761123174992
WBP2	1.1129176061367
SNX8	1.09320853833756
ASH2L	1.08899679193525
QKI	1.08125805712113
CCNE2	1.07531515345201
EGR1	1.07521044278332
NSF	1.073769627777
SUN2	1.05959881539521
