NAME	DESCRIPTION	A54933	A54934	A54935	A54936	A54937	A54938
CNNM3	na	4.9831	5.3761	5.1055	4.4783	4.5696	4.4782
LMAN2L	na	5.5133	5.6463	6.1655	6.0378	6.1402	5.6661
RRP15	na	21.6306	24.1587	19.701	19.1657	13.1051	16.7197
DDX18	na	12.2045	13.7941	12.5095	11.8213	9.6193	11.0575
NAB1	na	16.9883	15.2988	18.5944	21.8661	20.905	22.661
TBC1D8	na	8.5894	8.8196	8.8896	7.867	9.3268	8.3077
CNOT11	na	5.4633	5.9026	5.8311	5.5237	4.5562	5.2054
IARS2	na	13.8265	14.5466	13.7413	13.0354	12.8167	12.4584
NEK2	na	9.6873	10.9037	10.1815	9.2924	9.0635	8.7851
LPGAT1	na	4.747	5.0786	5.1099	5.1342	4.6941	4.8937
PPP2R5A	na	44.7064	52.4156	47.0791	38.2103	35.504	37.8139
TMEM206	na	18.0598	19.0773	17.1634	18.3185	20.1103	17.2948
ATF3	na	10.9771	15.8322	12.3423	40.2393	48.7001	47.6598
BATF3	na	0.9163	1.4014	0.7652	6.1825	6.9289	5.9101
TATDN3	na	3.0213	3.2309	3.1836	3.3216	3.4263	2.8801
ANGEL2	na	8.8763	10.1155	9.6745	8.2483	7.4257	7.3739
TRAF5	na	2.7226	2.7855	3.6068	2.9041	3.3949	3.063
LAMB3	na	0.7035	0.4568	0.5697	0.5352	0.488	0.5453
USF1	na	22.7174	23.5414	21.1016	20.845	22.2607	23.3484
CFAP126	na	2.0679	1.3559	1.755	2.1469	2.1116	2.3239
FCGR2A	na	60.345	63.8731	63.0882	68.2052	71.5908	70.7826
DUSP12	na	3.9515	4.8609	4.3873	4.8685	4.2291	4.7429
ATF6	na	12.2293	13.4686	13.201	16.7614	16.8765	16.526
UHMK1	na	10.6381	10.8172	12.4333	11.8957	13.3699	12.1933
UAP1	na	9.2369	9.8752	10.1014	9.2769	8.9818	9.016
HSD17B7	na	3.0838	3.0114	3.1766	4.2151	3.47	3.3684
NUF2	na	21.9514	24.0518	21.4261	19.4156	19.3539	18.8063
ALDH9A1	na	68.1228	70.0072	66.892	59.8028	57.6665	56.5196
MGST3	na	21.2547	21.0733	18.6152	20.9781	18.3892	21.1452
EEF1AKNMT	na	5.7704	5.4572	5.9965	5.5022	4.5826	4.3985
VAMP4	na	3.8774	3.6793	4.1637	4.3868	5.1803	5.4205
PIGC	na	6.0565	6.6734	6.8617	6.8581	6.8747	5.9937
TNFSF4	na	0.5835	0.9615	0.7667	2.1406	2.7874	3.0755
PRDX6	na	107.8248	108.6634	106.6045	110.1978	102.3615	108.4634
KLHL20	na	3.2091	3.3687	3.5576	3.0612	3.2751	3.1186
CENPL	na	3.0918	3.8227	3.1996	3.0179	2.8018	2.8243
DARS2	na	8.7188	8.4719	8.2101	7.8739	8.0473	7.5605
RABGAP1L	na	4.1624	3.5378	6.0501	4.6877	5.6738	4.9285
ABI2	na	2.961	2.6776	3.2847	3.6609	4.0768	3.3343
KCNQ5	na	2.8652	2.4463	2.7613	2.1887	2.5186	2.0062
DISP1	na	3.9375	4.0644	4.86	4.2164	4.1682	4.1603
PTPN7	na	67.9299	72.9575	68.1512	61.9683	51.6409	57.0159
PTGS2	na	0.6576	0.8897	0.6005	1.203	1.1897	1.3404
COLGALT2	na	0.0237	0.0294	0.0078	0.1941	0.1927	0.1648
C1orf21	na	4.9145	5.0879	5.1355	5.6123	5.6279	4.9974
ACSL3	na	10.4198	11.3531	11.7733	14.1565	13.7302	13.6096
CHPF	na	0.9571	1.1192	1.3651	1.2132	1.4684	1.4139
GMPPA	na	35.4476	37.069	35.7924	34.4719	35.6825	33.5577
ATG9A	na	26.7087	25.9872	27.4237	23.9224	26.7374	24.869
CNPPD1	na	33.4776	33.7608	33.6118	29.4109	29.7418	28.8378
WNT6	na	0.7953	0.7352	0.81	1.1928	0.8389	1.3136
TTLL4	na	4.0278	5.042	4.7064	4.3338	3.7139	3.9682
STK36	na	0.2506	0.1633	0.1444	0.2338	0.3014	0.238
USP37	na	3.335	4.0137	3.9219	3.6057	3.3501	3.6156
FAM20B	na	7.25	6.6756	7.87	7.8327	8.2969	7.6051
CEP350	na	4.8685	4.5431	4.9273	4.4014	5.2023	4.3678
QSOX1	na	18.608	15.9789	18.8627	18.3453	21.7792	20.9056
ACBD6	na	31.8496	31.1033	31.2762	29.0121	31.1059	30.587
ST18	na	0.1201	0.1344	0.1048	0.4629	0.407	0.4464
ATP6V1H	na	30.6816	33.0716	30.7314	34.9356	32.6116	35.4039
TCEA1	na	9.188	8.772	9.0629	9.6227	10.3196	9.6079
MRPL15	na	11.2271	13.4358	11.7064	11.7076	10.8862	11.3364
B3GALT2	na	0.0899	0.1344	0.1399	0.2494	0.161	0.283
ASPM	na	2.797	3.0982	3.0182	2.7019	2.9251	2.5446
ZBTB41	na	1.3184	1.3359	1.477	1.3575	1.3443	1.4293
FARP2	na	0.1444	0.158	0.1631	0.1632	0.1663	0.2535
HDLBP	na	65.3303	71.9237	63.4591	67.373	69.4086	66.4803
GPC1	na	7.7631	9.0895	7.2679	2.283	2.9318	2.4706
TRAF3IP1	na	2.0529	2.5472	2.349	2.4405	2.3102	2.266
UBE2F-SCLY	na	12.0085	13.9206	12.3164	15.8873	14.708	16.1247
RAMP1	na	86.1868	69.6302	71.3961	56.1711	61.1005	52.4016
COPS8	na	45.3845	45.7238	42.3246	43.9906	39.9408	41.5798
GBX2	na	1.1041	0.9951	1.5369	1.0318	1.24	0.9911
ZRANB3	na	4.0463	3.8733	4.3372	3.8922	4.3621	3.6648
RAB3GAP1	na	7.408	6.9097	7.3906	7.3948	7.7419	7.2379
MGAT5	na	7.4576	6.4896	6.8688	7.0759	10.7683	6.4634
