"patient_external_id","specimen_external_id","meta","is_patient"
"AML-193","AML-193",NA,FALSE
"AML-193","AML193",NA,FALSE
"GM12878","GM12878",NA,FALSE
"GM19240","GM19240",NA,FALSE
"HMC-1","HMC-1",NA,FALSE
"K562","K562",NA,FALSE
"KASUMI-6","KASUMI-6",NA,FALSE
"KCL-22","KCL-22",NA,FALSE
"KG-1","KG-1",NA,FALSE
"KG-1a","KG-1a",NA,FALSE
"KG-1a","KG-1a shRUNX1 #3658 DMSO 7day","{""comment"": ""Sergio Martinez-Hoyer RUNX1 shRNA experiment""}",FALSE
"KG-1a","KG-1a shRUNX1 #3660 DMSO 7day","{""comment"": ""Sergio Martinez-Hoyer RUNX1 shRNA experiment""}",FALSE
"KG-1a","KG-1a shRUNX1 #3660 Len 1uM 7day","{""comment"": ""Sergio Martinez-Hoyer RUNX1 shRNA experiment""}",FALSE
"LoD-A1","LoD-A1",NA,FALSE
"LoD-A2","LoD-A2",NA,FALSE
"LoD-A3","LoD-A3",NA,FALSE
"LoD-A4","LoD-A4",NA,FALSE
"LoD-A5","LoD-A5",NA,FALSE
"LoD-A6","LoD-A6",NA,FALSE
"LoD-B1","LoD-B1",NA,FALSE
"LoD-B2","LoD-B2",NA,FALSE
"LoD-B3","LoD-B3",NA,FALSE
"LoD-B4","LoD-B4",NA,FALSE
"LoD-B5","LoD-B5",NA,FALSE
"LoD-B6","LoD-B6",NA,FALSE
"LoD-C1","LoD-C1",NA,FALSE
"LoD-C2","LoD-C2",NA,FALSE
"LoD-C3","LoD-C3",NA,FALSE
"LoD-C4","LoD-C4",NA,FALSE
"LoD-C5","LoD-C5",NA,FALSE
"M07e","M07e",NA,FALSE
"MDS-L","MDS-L",NA,FALSE
"MDS-L","MDS-L shSCR DMSO 4day","{""comment"": ""Sergio Martinez-Hoyer RUNX1 shRNA experiment""}",FALSE
"MDS-L","MDS-L DMSO 4day","{""comment"": ""Sergio Martinez-Hoyer RUNX1 shRNA experiment""}",FALSE
"MDS-L","MDS-L shSCR Len 1uM 4day","{""comment"": ""Sergio Martinez-Hoyer RUNX1 shRNA experiment""}",FALSE
"MDS-L","MDS-L Len 1uM 4day","{""comment"": ""Sergio Martinez-Hoyer RUNX1 shRNA experiment""}",FALSE
"MDS-L","MDS-L shSCR","{""comment"": ""Sergio Martinez-Hoyer RUNX1 shRNA experiment""}",FALSE
