Accession,Gene,Description,KO_MG132,WT_MG132,WT_Untreated,Ratio_1,Ratio_2
A4D0V7,CPED1,Cadherin-like and PC-esterase domain-containing protein 1,4597.8,1138458,5270,216.026186,247.6092914
O00487,PSMD14,26S proteasome non-ATPase regulatory subunit 14,3992740,6805621.8,889955,7.647152721,1.704499116
O14782,KIF3C,Kinesin-like protein KIF3C,2298.9,155366.9,2635,58.9627704,67.58314846
O14818,PSMA7,Proteasome subunit alpha type-7,530898.5,915230.6,598370.6,1.529538049,1.723927643
O14975,SLC27A2,Very long-chain acyl-CoA synthetase,180235.6,659915.6,0.1,6599156,3.661405405
O15399,GRIN2D,"Glutamate receptor ionotropic, NMDA 2D",199490.8,434306.3,0.1,4343063,2.177074331
O15479,MAGEB2,Melanoma-associated antigen B2,2298.9,86845.9,2635,32.95859583,37.77715429
O15503,INSIG1,Insulin-induced gene 1 protein,2298.9,1606386.7,2635,609.6344213,698.7631911
O43143,DHX15,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,118180.9,187601,65735.5,2.85387652,1.58740541
O43175,PHGDH,D-3-phosphoglycerate dehydrogenase,127916.4,1667070.5,844819.3,1.973286477,13.03250013
O43900,PRICKLE3,Prickle-like protein 3,2298.9,174135.5,2635,66.08557875,75.74731393
O43920,NDUFS5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,2298.9,332257.6,2635,126.0939658,144.5289486
O60488,ACSL4,Long-chain-fatty-acid--CoA ligase 4,2298.9,444776.5,189591.1,2.345977738,193.4736178
O75146,HIP1R,Huntingtin-interacting protein 1-related protein,2298.9,228125,2635,86.57495256,99.23224151
O75419,CDC45,Cell division control protein 45 homolog,1168370.7,1796078.7,724447.8,2.479238256,1.53725072
O75792,RNASEH2A,Ribonuclease H2 subunit A,4597.8,297770.8,5270,56.5029981,64.76375658
O75886,STAM2,Signal transducing adapter molecule 2,2298.9,150760,2635,57.21442125,65.57919005
O95070,YIF1A,Protein YIF1A,2298.9,701565.5,2635,266.2487666,305.1744312
P01106,MYC,Myc proto-oncogene protein,814409.8,1811465.8,940270.7,1.926536475,2.224268176
P02100,HBE1,Hemoglobin subunit epsilon,9195.6,3413905.7,10540,323.8999715,371.2542629
P02654,APOC1,Apolipoprotein C-I,434635.8,6064123.5,1289865,4.701362933,13.95219515
P04792,HSPB1,Heat shock protein beta-1,2332384.2,3503785.3,1287084.1,2.722266012,1.502233337
P04844,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,2298.9,672222.9,2635,255.113055,292.4106747
P04920,SLC4A2,Anion exchange protein 2,2298.9,202694,2635,76.92371917,88.16999435
P05141,SLC25A5,ADP/ATP translocase 2,1306342.6,1996175.6,0.1,19961756,1.528064384
P05362,ICAM1,Intercellular adhesion molecule 1,2298.9,295035.9,2635,111.9680835,128.3378572
P06733,ENO1,Alpha-enolase,1224904.8,2687513.2,1260955,2.13133157,2.194058836
P06748,NPM1,Nucleophosmin,402835.6,614017.4,310635.4,1.976649796,1.524238176
P07741,APRT,Adenine phosphoribosyltransferase,173976.2,419652.3,0.1,4196523,2.412124762
P07900,HSP90AA1,Heat shock protein HSP 90-alpha,2298.9,516935.8,2635,196.1805693,224.8622385
P08238,HSP90AB1,Heat shock protein HSP 90-beta,2298.9,196372.3,2635,74.52459203,85.42011397
P08574,CYC1,"Cytochrome c1, heme protein, mitochondrial",2298.9,515613.8,2635,195.6788615,224.2871808
P08670,VIM,Vimentin,4597.8,962038.9,5270,182.5500759,209.2389621
P08727,KRT19,"Keratin, type I cytoskeletal 19",360090,1907121.4,482588.4,3.951859183,5.296235386
P08910,ABHD2,Monoacylglycerol lipase ABHD2,1817036.4,3236218.7,778601.1,4.156452772,1.781042306
P0C0S5,H2AFZ,Histone H2A.Z,220337.9,379895,171836.8,2.21078954,1.724147321
P10644,PRKAR1A,cAMP-dependent protein kinase type I-alpha regulatory subunit,2298.9,96375.3,2635,36.57506641,41.92235417
P12829,MYL4,Myosin light chain 4,1100253.9,1733394.2,756679.4,2.290790789,1.575449267
P13747,HLA-E,"HLA class I histocompatibility antigen, alpha chain E OS=Homo sapiens GN=HLA-E PE=1 SV=3",2298.9,260692.5,2635,98.9345351,113.3987994
P13995,MTHFD2,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",2298.9,225773.1,2635,85.68239089,98.209187
P15531,NME1,Nucleoside diphosphate kinase A,2298.9,1003962.3,2635,381.0103605,436.7142111
P16615,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,1249710.1,3663694.4,279934.3,13.08769379,2.931635425
P16989,YBX3,Y-box-binding protein 3,2298.9,1170711.2,2635,444.2926755,509.2484232
P18077,RPL35A,60S ribosomal protein L35a,111742.1,249749.4,152091.6,1.642098577,2.235051963
P18124,RPL7,60S ribosomal protein L7,3985722.7,6349328.3,1590555.3,3.991894089,1.593018074
P18206,VCL,Vinculin,1612236.7,2652014.1,1752659,1.513137524,1.644928502
P18669,PGAM1,Phosphoglycerate mutase 1,2298.9,28056.7,2635,10.64770398,12.20440211
P18850,ATF6,Cyclic AMP-dependent transcription factor ATF-6 alpha,2298.9,259024.6,2635,98.30155598,112.6732785
P19367,HK1,Hexokinase-1,2429602.3,3761835.9,768735.5,4.893537374,1.548334022
P19429,TNNI3,"Troponin I, cardiac muscle",2298.9,442290.3,2635,167.8521063,192.3921441
P19544,WT1,Wilms tumor protein,91553.9,198902.1,115002,1.729553399,2.172513678
P21964,COMT,Catechol O-methyltransferase,1650097,5941780.6,3370930,1.762653214,3.600867464
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3,722465,1244340.5,730948,1.702365285,1.722354024
P22234,PAICS,Multifunctional protein ADE2,1272978.1,1922578,565253.3,3.401268069,1.510299352
P23246,SFPQ,"Splicing factor, proline- and glutamine-rich",345700.7,558159,293335.8,1.902798772,1.614572953
P23381,WARS,"Tryptophan--tRNA ligase, cytoplasmic",2298.9,122320.1,2635,46.42129032,53.20809953
P23396,RPS3,40S ribosomal protein S3,24178162.5,49438213.5,16749040.4,2.951704236,2.044746515
P24928,POLR2A,DNA-directed RNA polymerase II subunit RPB1,934989.2,1745219.5,592860.6,2.943726569,1.86656648
P26373,RPL13,60S ribosomal protein L13,1106281.1,1778952.4,871455.3,2.041358174,1.608047358
P27635,RPL10,60S ribosomal protein L10,6288406.4,17028338.7,792245.4,21.49376784,2.707894118
P27694,RPA1,Replication protein A 70 kDa DNA-binding subunit,2298.9,72670.7,2635,27.57901328,31.61107486
P28070,PSMB4,Proteasome subunit beta type-4,124833.5,2413364.1,2635,915.887704,19.33266391
P28562,DUSP1,Dual specificity protein phosphatase 1,2298.9,664095.1,2635,252.0285009,288.8751577
P29474,NOS3,"Nitric oxide synthase, endothelial",75500.8,335302.8,0.1,3353028,4.441049631
P33527,ABCC1,Multidrug resistance-associated protein 1,850614.4,1571951,118652.8,13.24832621,1.848018327
P34741,SDC2,Syndecan-2,2298.9,99073.2,2635,37.59893738,43.09591544
P36543,ATP6V1E1,V-type proton ATPase subunit E 1,2298.9,384034.1,2635,145.7434915,167.0512419
P37837,TALDO1,Transaldolase,2298.9,672210.6,2635,255.1083871,292.4053243
P40429,RPL13A,60S ribosomal protein L13a,3722146.8,8297768.7,5011473.1,1.655754413,2.229296464
P41091,EIF2S3,Eukaryotic translation initiation factor 2 subunit 3,2298.9,147959.8,2635,56.15172676,64.36112924
P41567,EIF1,Eukaryotic translation initiation factor 1,2306540.4,4197734.4,1273586.4,3.295994995,1.819926675
P42766,RPL35,60S ribosomal protein L35,285906,1756247.9,415535.3,4.226471012,6.142745868
P42768,WAS,Wiskott-Aldrich syndrome protein,2298.9,340482.3,2635,129.2152941,148.1066162
P46379,BAG6,Large proline-rich protein BAG6,2298.9,388145.4,2635,147.3037571,168.8396189
P46776,RPL27A,60S ribosomal protein L27a,2298.9,298661.2,2635,113.3439089,129.9148288
P48029,SLC6A8,Sodium- and chloride-dependent creatine transporter 1,494250,6385130.2,3974810.3,1.606398725,12.91882691
P49207,RPL34,60S ribosomal protein L34,190254.8,1716780.7,510220,3.364785191,9.02358679
P49327,FASN,Fatty acid synthase,4597.8,1470036.5,5270,278.9443074,319.7260646
P49674,CSNK1E,Casein kinase I isoform epsilon,2298.9,58835.3,2635,22.3283871,25.59280525
P49721,PSMB2,Proteasome subunit beta type-2,4597.8,1149105.7,5270,218.0466224,249.9251164
P50750,CDK9,Cyclin-dependent kinase 9,2298.9,76676.1,2635,29.09908918,33.3533864
P51825,AFF1,AF4/FMR2 family member 1,120679.2,277090.4,0.1,2770904,2.296090793
P52907,CAPZA1,F-actin-capping protein subunit alpha-1,198693.3,423311.6,0.1,4233116,2.130477475
P52948,NUP98,Nuclear pore complex protein Nup98-Nup96,2298.9,58944.2,2635,22.36971537,25.64017574
P53621,COPA,Coatomer subunit alpha,377767,650403.9,196776.3,3.305295912,1.721706502
P53992,SEC24C,Protein transport protein Sec24C,2298.9,512760.9,2635,194.596167,223.046196
P54709,ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3,2298.9,175940.1,2635,66.77043643,76.53229806
P59780,AP3S2,AP-3 complex subunit sigma-2,2298.9,276403.1,2635,104.8968121,120.2327635
P60033,CD81,CD81 antigen,2298.9,312538.1,2635,118.6102846,135.9511506
P60228,EIF3E,Eukaryotic translation initiation factor 3 subunit E,6896.7,1083847.4,7905,137.1090955,157.1544942
P60709,ACTB,"Actin, cytoplasmic 1",4375292.7,10722404.1,2398142.8,4.471128283,2.450671266
P61009,SPCS3,Signal peptidase complex subunit 3,2298.9,664014.2,2635,251.9977989,288.8399669
P61160,ACTR2,Actin-related protein 2,305829,1473303.9,84821.3,17.36950389,4.81741071
P61221,ABCE1,ATP-binding cassette sub-family E member 1,0.1,316052.1,85081.6,3.714693894,3160521
P61254,RPL26,60S ribosomal protein L26,0.1,341447.2,115986.4,2.943855487,3414472
P61353,RPL27,60S ribosomal protein L27,2234969.3,4711183,1747950.7,2.695260799,2.107940812
P61619,SEC61A1,Protein transport protein Sec61 subunit alpha isoform 1,2298.9,1341798,2635,509.2212524,583.6695811
P61966,AP1S1,AP-1 complex subunit sigma-1A,2298.9,426165.3,2635,161.7325617,185.3779199
P61981,YWHAG,14-3-3 protein gamma,259306.2,793264.9,408988.6,1.939577044,3.059182156
P62241,RPS8,40S ribosomal protein S8,1888364.2,5805681.1,1644693.3,3.529947559,3.074449886
P62249,RPS16,40S ribosomal protein S16,1476089,3080206.9,1053132.2,2.924805547,2.086735217
P62266,RPS23,40S ribosomal protein S23,671586.7,4474023.4,79058,56.59165929,6.661870165
P62269,RPS18,40S ribosomal protein S18,1082735.2,2840831.8,699914.2,4.058828639,2.623754913
P62280,RPS11,40S ribosomal protein S11,1514217.3,2448097.2,1024158.3,2.390350398,1.616741005
P62424,RPL7A,60S ribosomal protein L7a,19220630.2,34225009,21436917.2,1.596545281,1.780639274
P62487,POLR2G,DNA-directed RNA polymerase II subunit RPB7,2298.9,1665357.9,2635,632.0143833,724.4151116
P62805,HIST1H4A,Histone H4,3398617.5,6434272.5,3657745,1.759081757,1.893202898
P62829,RPL23,60S ribosomal protein L23,948758.2,1999463.6,1209683.1,1.652882147,2.107453301
P62841,RPS15,40S ribosomal protein S15,2443911.1,4211292.4,2021238.4,2.083520875,1.72317741
P62906,RPL10A,60S ribosomal protein L10a,95779.8,195685.8,0.1,1956858,2.043080065
P62917,RPL8,60S ribosomal protein L8,174012.6,541785.7,5270,102.8056357,3.11348546
P63092,GNAS,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,2298.9,297268,2635,112.8151803,129.3087999
P68431,HIST1H3A,Histone H3.1,182624.6,948463.9,222153,4.269417474,5.193516646
P78371,CCT2,T-complex protein 1 subunit beta,2298.9,164181,2635,62.30777989,71.41719953
P78527,PRKDC,DNA-dependent protein kinase catalytic subunit,641399.2,1296746.8,2635,492.1240228,2.021746831
P80370,DLK1,Protein delta homolog 1,2298.9,801984.3,2635,304.3583681,348.8556701
Q01196,RUNX1,Runt-related transcription factor 1,297410.7,1075677.5,0.1,10756775,3.616808339
Q01628,IFITM3,Interferon-induced transmembrane protein 3,357480.6,1381827.1,238929.2,5.783416594,3.865460391
Q02880,TOP2B,DNA topoisomerase 2-beta,448047,1147942.5,534910.4,2.146046329,2.56210286
Q03519,TAP2,Antigen peptide transporter 2,2298.9,63751,2635,24.19392789,27.73108878
Q07020,RPL18,60S ribosomal protein L18,5327736.4,10589963,4556429.3,2.324180252,1.987704009
Q09666,AHNAK,Neuroblast differentiation-associated protein AHNAK,2298.9,83624.7,2635,31.73612903,36.37596242
Q12834,CDC20,Cell division cycle protein 20 homolog,958733.2,1472915,327819.5,4.493067069,1.536313752
Q12923,PTPN13,Tyrosine-protein phosphatase non-receptor type 13,2298.9,884724.1,2635,335.7586717,384.8467093
Q13137,CALCOCO2,Calcium-binding and coiled-coil domain-containing protein 2,874661.9,1351658,525728.4,2.571019561,1.545349123
Q13268,DHRS2,"Dehydrogenase/reductase SDR family member 2, mitochondrial",2298.9,405603.4,2635,153.9291841,176.4336857
Q13347,EIF3I,Eukaryotic translation initiation factor 3 subunit I,1347659.5,2874180.3,1597745.3,1.798897672,2.132719949
Q13356,PPIL2,Peptidyl-prolyl cis-trans isomerase-like 2,2298.9,235875.9,2635,89.51647059,102.6038105
Q13571,LAPTM5,Lysosomal-associated transmembrane protein 5,1416784.4,7976118.4,3747290.1,2.128503048,5.62973336
Q13772,NCOA4,Nuclear receptor coactivator 4,2298.9,74717.7,2635,28.35586338,32.50150072
