Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
TMEM154	ENST00000304385.3	transmembrane protein 154 	5	0	0	0	0	6	2	2	2	1	hsa-miR-143-3p	-0.90	-0.90	0.25	
C1orf74	ENST00000294811.1	chromosome 1 open reading frame 74 	5	1	1	0	0	1	0	1	0	0	hsa-miR-143-3p	-0.80	-0.80	< 0.1	
DENND2C	ENST00000393276.3	DENN/MADD domain containing 2C 	51	0	0	0	0	3	2	0	1	3	hsa-miR-143-3p	-0.78	-0.78	< 0.1	
DEFA3	ENST00000327857.2	defensin, alpha 3, neutrophil-specific 	5	0	0	0	0	1	1	0	0	0	hsa-miR-6088	-0.76	-0.76	< 0.1	
CCDC73	ENST00000531481.1	coiled-coil domain containing 73 	5	0	0	0	0	2	2	0	0	1	hsa-miR-4770	-0.76	-0.76	< 0.1	
DEFA6	ENST00000297436.2	defensin, alpha 6, Paneth cell-specific 	5	0	0	0	0	1	1	0	0	0	hsa-miR-6088	-0.72	-0.72	< 0.1	
ITM2B	ENST00000378565.5	integral membrane protein 2B 	10367	1	1	0	0	1	0	0	1	0	hsa-miR-4770	-0.70	-0.89	0.79	2005, 2007, 2009, 2011
SLC25A15	ENST00000338625.4	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15 	345	1	1	0	0	1	1	0	0	1	hsa-miR-143-3p	-0.69	-0.70	0.77	2009, 2011
IFNA14	ENST00000380222.2	interferon, alpha 14 	5	0	0	0	0	1	1	0	0	0	hsa-miR-4770	-0.68	-0.68	< 0.1	
IFNA7	ENST00000239347.3	interferon, alpha 7 	5	0	0	0	0	1	1	0	0	0	hsa-miR-4770	-0.67	-0.67	< 0.1	
MSI2	ENST00000284073.2	musashi RNA-binding protein 2 	283	3	1	0	2	0	0	0	0	0	hsa-miR-4770	-0.67	-0.67	0.84	2011
TMOD2	ENST00000249700.4	tropomodulin 2 (neuronal) 	117	1	1	0	0	5	1	2	2	0	hsa-miR-6088	-0.67	-0.80	< 0.1	2011
CPB2	ENST00000181383.4	carboxypeptidase B2 (plasma) 	93	0	0	0	0	3	1	0	2	0	hsa-miR-4770	-0.66	-0.66	< 0.1	
KRTAP9-7	ENST00000391354.1	keratin associated protein 9-7 	5	0	0	0	0	1	1	0	0	0	hsa-miR-4770	-0.66	-0.66	< 0.1	
PLA2G1B	ENST00000308366.4	phospholipase A2, group IB (pancreas) 	5	0	0	0	0	1	1	0	0	0	hsa-miR-4770	-0.64	-0.64	< 0.1	
ABHD14A	ENST00000273596.3	abhydrolase domain containing 14A 	523	1	1	0	0	0	0	0	0	0	hsa-miR-6088	-0.64	-0.64	< 0.1	
SLC30A8	ENST00000427715.2	solute carrier family 30 (zinc transporter), member 8 	5	1	0	1	0	3	1	2	0	1	hsa-miR-143-3p	-0.64	-0.64	0.26	2009, 2011
KRTAP9-6	ENST00000391355.1	keratin associated protein 9-6 	5	0	0	0	0	1	1	0	0	0	hsa-miR-6088	-0.63	-0.63	< 0.1	
TSC22D3	ENST00000372390.4	TSC22 domain family, member 3 	154	1	1	0	0	1	0	1	0	0	hsa-miR-4770	-0.62	-0.62	0.76	2007, 2009, 2011
TMEM214	ENST00000238788.9	transmembrane protein 214 	1344	0	0	0	0	3	0	1	2	0	hsa-miR-6088	-0.61	-0.61	0.29	
IFNA16	ENST00000380216.1	interferon, alpha 16 	5	0	0	0	0	1	1	0	0	0	hsa-miR-4770	-0.61	-0.61	< 0.1	
SLC16A5	ENST00000580123.1	solute carrier family 16 (monocarboxylate transporter), member 5 	26	0	0	0	0	3	1	1	1	1	hsa-miR-4770	-0.61	-0.81	< 0.1	
GRIN2B	ENST00000609686.1	glutamate receptor, ionotropic, N-methyl D-aspartate 2B 	5	0	0	0	0	5	0	2	3	8	hsa-miR-4770	-0.61	-0.61	0.11	
UBXN2B	ENST00000399598.2	UBX domain protein 2B 	157	1	1	0	0	1	0	1	0	1	hsa-miR-143-3p	-0.60	-0.60	< 0.1	
ARFGAP3	ENST00000263245.5	ADP-ribosylation factor GTPase activating protein 3 	6000	0	0	0	0	2	1	0	1	0	hsa-miR-143-3p	-0.60	-0.60	< 0.1	
KRTAP9-8	ENST00000254072.6	keratin associated protein 9-8 	5	0	0	0	0	1	1	0	0	0	hsa-miR-6088	-0.60	-0.60	< 0.1	
FOSL2	ENST00000379619.1	FOS-like antigen 2 	2255	2	1	0	1	8	1	5	2	7	hsa-miR-143-3p	-0.59	-1.16	0.86	2009, 2011
KRTAP9-2	ENST00000377721.3	keratin associated protein 9-2 	5	0	0	0	0	1	1	0	0	0	hsa-miR-6088	-0.59	-0.59	< 0.1	
OR5B2	ENST00000302581.2	olfactory receptor, family 5, subfamily B, member 2 	5	0	0	0	0	1	1	0	0	0	hsa-miR-6088	-0.58	-0.58	< 0.1	
LMO4	ENST00000370544.5	LIM domain only 4 	294	1	1	0	0	1	0	0	1	0	hsa-miR-143-3p	-0.58	-0.61	0.74	2005, 2007, 2009, 2011
SPATA12	ENST00000334325.1	spermatogenesis associated 12 	7	0	0	0	0	2	0	2	0	3	hsa-miR-143-3p	-0.58	-0.60	0.13	
GATM	ENST00000396659.3	glycine amidinotransferase (L-arginine:glycine amidinotransferase) 	586	0	0	0	0	2	1	1	0	0	hsa-miR-4770	-0.58	-0.58	< 0.1	
DENND1C	ENST00000381480.2	DENN/MADD domain containing 1C 	5	0	0	0	0	2	0	0	2	0	hsa-miR-4770	-0.57	-0.57	< 0.1	
GABARAPL3	ENST00000412799.2	GABA(A) receptors associated protein like 3, pseudogene 	5	0	0	0	0	2	1	1	0	2	hsa-miR-143-3p	-0.57	-0.57	< 0.1	
ASAP3	ENST00000495646.1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 	196	2	1	1	0	1	0	0	1	0	hsa-miR-4770	-0.57	-0.83	0.83	2009, 2011
MS4A14	ENST00000395001.1	membrane-spanning 4-domains, subfamily A, member 14 	5	0	0	0	0	1	1	0	0	1	hsa-miR-6088	-0.57	-0.57	ORF	
